ID,Emoji
fox_pixel,🦊
fox_blush,😊
fox_heart_eyes,😍
fox_love,🥰
fox_smile_sweat,😅
fox_kissing_heart,😘
fox_stars,🤩
fox_yum,😋
fox_hello,👋
fox_rofl,🤣
fox_stuck_out_tongue_closed_eyes,😝
fox_joy,😂
fox_stuck_out_tongue_winking_eye,😜
fox_laughing,😆
fox_party,🥳
fox_sunglasses,😎
fox_grimacing,😬
fox_flushed,😳
fox_fearful,😨
fox_scream,😱
fox_dizzy_face,😵
fox_sleepy,😪
fox_sleeping,😴
fox_nerd,🤓
fox_pleading,🥺
fox_sad,😞
fox_sob,😭
fox_cry,😢
fox_angry,😠
fox_smirk,😏
fox_cold,🥶
fox_hot,🥵
fox_confused,😕
fox_thumbs_up,👍
fox_okay,🙆
fox_thumbs_down,👎
fox_no,🙅
fox_raised_hand,✋
